Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.653,9.659,1.617,1.542,0.233,0.257,0.229,9,4,6,2,2,11,15,2.66,10.59,5.75,17.532,488.055,285.462,791.049,99.63,4768.637,2659.782,7528.049,46,31,34,Walking
9.98,9.974,2.124,1.986,0.341,0.274,0.257,8,6,9,2,2,15,17,6.04,1.13,4.29,25.532,903.624,899.194,1828.35,151.719,9682.196,9761.003,19594.918,50,30,33,Walking
9.998,9.977,2.345,2.14,0.383,0.331,0.245,9,7,9,1,3,14,20,7.34,3.83,1.27,29.834,727.04,561.897,1318.771,187.006,7376.124,5747.77,13310.9,44,36,26,Walking
9.831,9.785,2.534,2.194,0.486,0.348,0.386,7,7,7,3,5,20,21,17.57,5.24,5.41,36.68,1000.467,765.734,1802.881,231.821,10998.624,7927.724,19158.169,38,37,42,Walking
9.822,9.742,1.841,1.476,2.591,0.292,0.371,10,10,12,2,3,24,20,1.59,2.66,1.96,183.021,7689.279,1128.761,9001.061,1637.001,117549.529,12444.487,131631.017,51,36,41,Walking
9.907,9.874,2.997,2.531,2.567,0.34,0.383,12,4,8,2,2,25,27,8.83,2.26,1.87,187.926,5679.023,1458.699,7325.648,1662.856,78254.79,17636.75,97554.396,42,38,44,Walking
9.445,9.36,5.698,5.175,2.109,0.697,0.743,10,8,5,2,2,25,26,27.58,9.2,12.53,211.353,8554.39,2446.99,11212.733,1862.172,131614.321,30644.823,164121.316,40,34,39,Walking
10.916,10.859,10.824,10.453,3.515,1.142,0.819,10,10,6,2,2,24,22,49.36,23.25,13.45,316.259,8920.961,1515.567,10752.787,3089.186,131146.914,17401.871,151637.971,37,39,33,Walking
11.212,11.246,8.261,7.87,3.132,1.051,0.739,10,7,6,2,2,22,20,1.02,15.19,6.21,230.99,7633.533,2942.089,10806.612,2204.702,107987.772,36159.245,146351.719,42,34,39,Walking
10.291,10.284,6.02,5.859,3.168,0.467,0.322,7,10,5,3,3,18,16,6.72,12.86,1.94,215.836,8581.4,745.045,9542.281,2226.319,120102.149,7641.732,129970.2,47,25,37,Walking
11.103,11.085,12.549,12.368,5.371,0.608,0.151,7,8,5,2,2,19,15,34.07,6.99,0.62,361.396,5532.981,1219.923,7114.3,3834.823,74522.066,13301.057,91657.946,48,31,26,Walking
10.776,10.725,12.018,11.653,5.696,0.664,0.504,8,8,6,2,2,19,21,1.3,10.2,5.09,387.609,19978.233,1832.557,22198.399,4218.264,304334.746,21264.649,329817.659,40,33,30,Walking
